text,target
"From: 2575brooksr@vms.csd.mu.edu
Subject: NeXT cube board monitor cable ?
Organization: Marquette University - Computer Services
Lines: 8
Reply-To: 2575brooksr@vms.csd.mu.edu
NNTP-Posting-Host: vmsf.csd.mu.edu

Hi all!
	Quick question.  Could someone please send me a pinout of
the cable that goes between a NeXT cube and the monitor?  Also,
I am interested in the video signal (sync type, horz/vert rate)
so any information on that would be greatly appreciated also.

Thanks!
Ryan Brooks					ryan@agnus.mcs.mu.edu
",7
"From: andyh@chaos.cs.brandeis.edu (Andrew J. Huang)
Subject: Re: AudiWatch Update (Tm) #11
Organization: Brandeis University
Lines: 17

In article <1993Apr2.194838.13476@news.cs.brandeis.edu> andyh@chaos.cs.brandeis.edu (Andrew J. Huang) writes:
>In article <1993Apr2.181037.11188@magnus.acs.ohio-state.edu> bqueiser@magnus.acs.ohio-state.edu (Brian J Queiser) writes:
>>powell@interlan.interlan.com (Glen D. Powell) writes:

>>The kind of corporate raiding apparently undertaken by VW is shameful.
>
>Agreed.  However, the particular execs had been working with Iggy for
>many years and had left GM Europe to go to Detroit.  With their raison
>-andy

I was out of date.  VW is stealing execs directly from Opel,
independent of Lopez.  Shameful.

-andy



",3
"From: CCMB <CCMB@MUSICA.MCGILL.CA>
Subject: What DMA's are my system using?
Lines: 10
Nntp-Posting-Host: vm1.mcgill.ca
Organization: McGill University

Hello,

    I am having a small problem with my sound blaster pro and a game.
Is there a utility out there that would tell me what DMA's my system
is using?


Thanks,
Mark Brown

",2
"From: strobl@gmd.de (Wolfgang Strobl)
Subject: Re: Challenge to Microsoft supporters.
Nntp-Posting-Host: gmdzi
Organization: GMD, Sankt Augustin, Germany
Lines: 22

In <14957@news.duke.edu> kdb@sunbar.mc.duke.edu (Kurt Bollacker) writes:

>Brian Grier (bjgrier@bnr.ca) wrote:

>: So to most of the computer users in the world MS product symbolize
>: quality. MS has made their life easier, and more productive and to them
>: that is quality. They do not care about what innovative things MS has
>: done, other than to make their life with a computer one heck of a lot
>: easier. You may know better than most computer users in this world
>: but that will not change their perception.

>None of this changes the fact that MSW3.1 is objectively inferior to its
>competition.

This is indeed true. I prefer Windows NT. It is certainly much better
than Microsoft Windows 3.1/DOS.

--
      o      (     Wolfgang Strobl    Wolfgang.Strobl@gmd.de (+49 2241) 14-2394
     /\        *   GMD - Gesellschaft fuer Mathematik und Datenverarbeitung mbH
   _`\ `_<===      Schloss Birlinghoven, P.O. Box 1316,  | #include   
__(_)/_(_)___.-._  W-5205 Sankt Augustin, Germany        | <std.disclaimer.hpp>
",1
"From: manes@magpie.linknet.com (Steve Manes)
Subject: 1988 BMW K75S For Sale
Organization: Manes and Associates, NYC
X-Newsreader: TIN [version 1.1 PL9]
Lines: 10

3500 miles, black leather tank bra, tank bag, Corbin seat, Metzler 'B'
tires.  Garaged and pampered.  I can't afford to continue paying NYC garage
fees for two bikes so one of 'em has to go.

Best offer above $4500 takes it.

-- 
Stephen Manes					   manes@magpie.linknet.com
Manes and Associates				   New York, NY, USA  =o&>o

",4
"From: jeq@lachman.com (Jonathan E. Quist)
Subject: Re: Battery Charger
Keywords: battery charger
Nntp-Posting-Host: birdie.i88.isc.com
Organization: Lachman Technology, Incorporated, Naperville, IL
Lines: 20

In article <121765@netnews.upenn.edu> sanjay@kin.lap.upenn.edu (Sanjay Sinha) writes:
>
>I just noticed that my halogen table lamp runs off 12 Volts.
>The big thinngy that plugs into the wall says 12 Volts DC,  20mA
>
>The question is: Can I trickle charge the battery on my CB650
>with it?

You could, but it would be considerably cheaper to spend $8 or so on
a trickle charger from K-Mart, Venture, or Target, then it would be
to replace the halogen lamp power supply after you fuse it trying to
pump current into the battery...

While charging, the charger should be putting out around 14 or 15 volts
as well...
-- 
Jonathan E. Quist        jeq@lachman.com       Lachman Technology, Incorporated
DoD #094, KotPP, KotCF '71 CL450-K4 ""Gleep""                 Naperville, IL
 __       There's nothing quite like the pitter-patter of little feet,
 \/                   followed by the words ""Daddy!  Yay!""
",4
"From: ali@cns.nyu.edu (Alan Macaluso)
Subject: MICROPHONE PRE-AMP/LOW NOISE/PHANTOM POWERED
Nntp-Posting-Host: liu.cns.nyu.edu
Reply-To: ali@cns.nyu.edu
Organization: New York University
Lines: 13

I'm looking to build a microphone preamp that has very good low-noise characteristics,  large clean gain, and incorportates phantom power (20-48 volts (dc)) for a PZM microphone.  I'm leaning towards a good, low-cost (??) instrumentation amplifier to maintain the balanced input from the microphone, for its good CMRR, internal compensation, and because i can use a minimal # of parts.  

Does anyone out there have any experience, suggestions, advice, etc...that they'd like to pass on, I'd greatly appreciate it.


---
A l a n  M a c a l u s o		 	PURPLE MOON GIANTS
ali@cns.nyu.edu  				158 E. 7th. St. #B5
(212) 998-7837					NYC  10009
						(212) 982-6630

		
	        
",7
"From: tomc@cirrus.com (Tom Crawford)
Subject: Re: what to do with old 256k SIMMs?
Distribution: usa
Organization: Cirrus Logic Inc.
Lines: 18

In <1r3mmnINN4p1@master.cs.rose-hulman.edu> henslelf@nextwork.Rose-Hulman.Edu. (Lige F Hensley) writes:

>In article <120466@netnews.upenn.edu> jhaines@eniac.seas.upenn.edu (Jason  
>Haines) writes:
>> 
>> 	I was wondering if people had any good uses for old
>> 256k SIMMs.  I have a bunch of them for the Apple Mac
>> and I know lots of other people do to.  I have tried to
>> sell them but have gotten NO interest.
>> 
>> 	So, if you have an inovative use (or want to buy
>> some SIMMs  8-) )
>Sure I'll give you 10 bucks for all of them

I think they are really neat to put onto key rings.  When somebody
makes the mistake of asking about it, you can *totally* geek out.

tc
",7
"From: eylerken@stein.u.washington.edu (Ken Eyler)
Subject: 3D Animation Station
Article-I.D.: shelley.1r75bgINNob9
Distribution: world
Organization: University of Washington, Seattle
Lines: 18
NNTP-Posting-Host: stein.u.washington.edu


	I am looking for some information about 3D animation stations that
are currently on the market.  The price of the station can be from 5K-20K, 
but no more than $20,000.00.  Type of workstation doesnt matter (PC, MAC, 
SGI etc..) .  If you use or have bought/looked at one or can suggest your
dream machine, then please mail me your configurations.  I need the following.

	1. Type of station (PC, MAC etc.. )
	2. Expandibilty of the machine.
	3. Software that can run on it
	4. VTR Controller and/or VTR deck model/name.
	5. Vendors names and numbers.

Thanks in advance.

					Ken Eyler
					eylerken@u.washington.edu
					The Evergreen State College
",0
"From: dfr@usna.navy.mil (PROF D. Rogers (EAS FAC))
Subject: Re: Help needed on hidden line removal
Keywords: hidden line graphics 3D
Distribution: comp
Organization: U. S. Naval Academy
Lines: 37

In article <raynor.735415408@beech.cs.scarolina.edu> raynor@cs.scarolina.edu (Harold Brian Raynor) writes:
>
>I am looking for some information of hidden line removal using Roberts
>algorithm.  Something with code, or pseudo code would be especially
>helpful.
>
>I am required to do this for a class, due Monday (we have very little
>time to implement these changes, it is a VERY FAST paced class).  The
>notes given in class leave a LOT to be desired, so I would vastly
>appreciate any help.
>
>Actually any algorithm would be nice (Roberts or no).  The main problem
>is two objects intersecting in x and y dimensions, need to know which
>lines to clip off so that one object will appear in front of another.
>
>If you can give me an ftp address and filename, or even the name of a
>good book, I'd REALLY appreciate it.

G'day Brian,

I'll be blunt about this. The ONLY reasonable explanation of Roberts
algorithm is in

Procedural Elements for Computer Graphics
Rogers
McGraw-Hill Book Co. 1985

Go to the library and look at this.

There is also a somewhat muddled explanation in the first edition
of Newman and Sproull.

The algorithm described in PECG runs in near linear time.

Luck,

Dave Rogers
",0
