class,rank,term,weight
0,1,graphics,4.273298013899995
0,2,3d,2.540551871500053
0,3,image,2.4795937012248697
0,4,3do,1.831870427743762
0,5,pov,1.6817758646877778
0,6,gif,1.6574002557038312
0,7,images,1.6420224735371522
0,8,siggraph,1.5206255239677737
0,9,polygon,1.501162457861331
0,10,animation,1.491908567926432
0,11,formats,1.4348197654267913
0,12,cview,1.4116787444779961
1,1,windows,6.215175357169433
1,2,microsoft,2.6879073105813465
1,3,win,1.8309990032322472
1,4,nt,1.7415238906903971
1,5,file,1.7099273437327747
1,6,manager,1.5661615744958728
1,7,cica,1.4683103395758366
1,8,font,1.4376776581454658
1,9,win3,1.4083652672417302
1,10,printer,1.3508597986127713
1,11,challenge,1.2731072912768313
1,12,ms,1.2505292554103333
2,1,monitor,2.1126806120994033
2,2,drive,2.0851858803386314
2,3,gateway,1.9848603957945166
2,4,pc,1.9812318509287932
2,5,motherboard,1.921397804876029
2,6,monitors,1.7805758508728649
2,7,scsi,1.7552079353108212
2,8,bios,1.6902948903657777
2,9,ide,1.6384769091402167
2,10,port,1.6098463032163226
2,11,modem,1.584877680911867
2,12,drives,1.5314292774672538
3,1,car,5.136890468795343
3,2,cars,2.6730869801678505
3,3,auto,2.0589905067034198
3,4,ford,1.9225335790843812
3,5,toyota,1.5992984036077913
3,6,dealer,1.5800136217156544
3,7,oil,1.5565660533903953
3,8,automotive,1.4053226931776408
3,9,engine,1.3229786539165067
3,10,geico,1.2753717945947973
3,11,eliot,1.2439812699595165
3,12,autos,1.2210493091057188
4,1,bike,4.427210814597349
4,2,dod,4.387565505828533
4,3,motorcycle,2.345737879737824
4,4,bikes,2.2459911704238706
4,5,riding,2.057573851905728
4,6,ride,1.9873803076301355
4,7,motorcycles,1.9118717068167919
4,8,bmw,1.7955580071083828
4,9,rider,1.473140014931235
4,10,helmet,1.3186477041361764
4,11,honda,1.2489228335362519
4,12,yamaha,1.2185901804627934
5,1,baseball,3.3930284763601515
5,2,game,2.312861583364347
5,3,team,1.8653094155373542
5,4,stats,1.8367042254763877
5,5,players,1.8198136834331722
5,6,he,1.719508898546814
5,7,games,1.581443479124828
5,8,ball,1.4544551235209546
5,9,phillies,1.3873581027874462
5,10,sox,1.3822365802381622
5,11,giants,1.2370778288165174
5,12,year,1.2161006299911195
6,1,clipper,3.540038997958901
6,2,encryption,2.62387836125848
6,3,des,2.131600005359214
6,4,key,2.045981181168196
6,5,nsa,1.6997589529783974
6,6,crypto,1.6250182831437332
6,7,government,1.6003920839594727
6,8,security,1.5712843752682952
6,9,cryptography,1.5143546014284675
6,10,pgp,1.4631932434591697
6,11,tapped,1.4026238455191953
6,12,code,1.3727847437102392
7,1,circuit,2.20812411327411
7,2,electronics,1.9994648194725988
7,3,audio,1.6734375514451931
7,4,copy,1.6543358326457689
7,5,voltage,1.62553326270076
7,6,motorola,1.460029245696732
7,7,tv,1.4528274854949408
7,8,8051,1.3932482725225779
7,9,amp,1.3863717649545944
7,10,protected,1.330430013546042
7,11,design,1.3260074530176404
7,12,scope,1.3121350953606774
8,1,doctor,2.2428846413412713
8,2,health,1.95816455666368
8,3,photography,1.852945959603018
8,4,med,1.6802833094995993
8,5,medical,1.6570688276647887
8,6,msg,1.5545168912963345
8,7,pitt,1.5230972369184506
8,8,disease,1.5080861576639573
8,9,treatment,1.5016013517224394
8,10,krillean,1.4962384400505493
8,11,allergic,1.3365216609300086
8,12,cancer,1.3116753038916562
9,1,israel,2.6333159597951608
9,2,israeli,2.2668630796696854
9,3,jews,1.7504048131933319
9,4,turkish,1.3788131059435151
9,5,arab,1.216674233459126
9,6,serdar,1.1876479779739464
9,7,bosnia,1.1772601059630303
9,8,muslim,1.1581836602594047
9,9,muslims,1.1182167371091334
9,10,jewish,1.0993725627005348
9,11,armenia,1.0589010114942488
9,12,serbs,1.0292640619744127
